RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN·m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
5259,0.06,576.1779,3037.4962,0.171185,0.362691,0.454258,0.493386,0.490552,0.449026,0.364685,0.227131,0.493386,0.37453,0.06,0.049309,0.064208,0.045824,0.0,105.6175
5259,0.062,584.8348,3096.7068,0.17555,0.371873,0.465932,0.506102,0.503032,0.46013,0.373393,0.232173,0.506102,0.383928,0.062,0.050078,0.065298,0.047492,0.0,108.2677
5259,0.1,713.4419,3967.2414,0.250343,0.529709,0.670252,0.732416,0.728515,0.662515,0.531143,0.325178,0.732416,0.550704,0.1,0.07309,0.083883,0.079626,0.0,155.2987
5259,0.12,753.5414,4486.4703,0.312422,0.662009,0.844512,0.931245,0.934597,0.856619,0.690591,0.423148,0.934597,0.702776,0.12,0.080837,0.083027,0.097035,0.0,198.1829
5259,0.125,786.8808,4912.8396,0.367909,0.772825,0.98271,1.081642,1.083397,0.990967,0.797579,0.488007,1.083397,0.815975,0.125,0.081995,0.082619,0.101542,0.0,230.105
5259,0.128,963.9034,6707.4825,0.707214,1.45757,1.829399,1.976569,1.932136,1.715166,1.33098,0.779246,1.976569,1.459341,0.128,0.082716,0.116671,0.104144,0.0,411.534
5259,0.13,966.6372,6788.218,0.72798,1.50276,1.887272,2.040564,1.998388,1.773871,1.370296,0.797787,2.040564,1.505635,0.13,0.083189,0.11777,0.105755,0.0,424.5891
5259,0.15,955.8558,7073.851,0.81804,1.734237,2.205004,2.392638,2.347,2.081628,1.596807,0.914518,2.392638,1.751709,0.15,0.099206,0.117363,0.11744,0.0,493.9818
5259,0.17,997.9581,7415.676,0.9264,1.950171,2.466886,2.661348,2.602074,2.296245,1.72636,0.960796,2.661348,1.940694,0.17,0.108851,0.125895,0.129736,0.0,547.2757
5259,0.2,1002.3399,7470.3715,0.961223,2.048396,2.60286,2.810403,2.755873,2.443198,1.843202,1.028263,2.810403,2.051301,0.2,0.127523,0.142389,0.140211,0.0,578.4669
5676,0.03,295.506,1425.4011,0.07322,0.153139,0.189912,0.205547,0.205536,0.191015,0.158758,0.102077,0.205547,0.158979,0.03,0.033051,0.037186,0.012779,0.0,44.8319
5676,0.05,402.8241,2096.3709,0.111273,0.236918,0.296415,0.322056,0.322279,0.298708,0.245858,0.154877,0.322279,0.246895,0.05,0.051427,0.050853,0.02194,0.0,69.6244
5676,0.07,521.5396,2637.6571,0.142554,0.299917,0.377249,0.412854,0.414641,0.384071,0.3153,0.197432,0.414641,0.315507,0.07,0.069271,0.061102,0.031686,0.0,88.9729
5676,0.08,574.1591,2895.0165,0.160588,0.333997,0.411013,0.445232,0.447663,0.415262,0.344211,0.217072,0.447663,0.340823,0.08,0.076556,0.064863,0.036707,0.0,96.1122
5676,0.09,619.272,3165.5457,0.180308,0.376001,0.466488,0.506928,0.510619,0.474951,0.390918,0.244993,0.510619,0.385434,0.09,0.083147,0.067364,0.041758,0.0,108.6925
5676,0.15,790.4124,4262.2704,0.27899,0.583103,0.741579,0.828199,0.846076,0.788916,0.645174,0.398142,0.846076,0.628306,0.15,0.122273,0.080876,0.07677,0.0,177.1823
5676,0.16,807.346,4377.6182,0.292536,0.611546,0.780172,0.873612,0.89379,0.834175,0.682869,0.421695,0.89379,0.662974,0.16,0.127219,0.082707,0.088221,0.0,186.9587
5676,0.165,843.1236,5202.5564,0.406893,0.836972,1.048352,1.139997,1.129849,1.02461,0.819408,0.499235,1.139997,0.858854,0.165,0.129742,0.083584,0.096631,0.0,242.1969
5676,0.17,966.5896,6821.7945,0.737468,1.523882,1.915159,2.071375,2.029239,1.80065,1.387483,0.804933,2.071375,1.52706,0.17,0.132424,0.119883,0.098538,0.0,430.631
5676,0.18,969.3388,6853.0191,0.747186,1.545439,1.942752,2.101184,2.058708,1.827089,1.406148,0.812939,2.101184,1.548543,0.18,0.137754,0.121395,0.100427,0.0,436.689
5676,0.2,970.0665,6662.4474,0.692622,1.42035,1.777439,1.92052,1.880166,1.672236,1.302518,0.766116,1.92052,1.422344,0.2,0.147638,0.115424,0.105454,0.0,401.1009
5676,0.25,992.6839,7221.5713,0.857786,1.787966,2.244944,2.412943,2.346179,2.061618,1.567072,0.895134,2.412943,1.762778,0.25,0.171713,0.130055,0.110936,0.0,497.1035
5676,0.28,994.1282,7136.4108,0.832581,1.729494,2.167383,2.328279,2.267151,1.996488,1.528464,0.882759,2.328279,1.706713,0.28,0.182053,0.13052,0.115734,0.0,481.2931
5676,0.3,996.8525,7228.0414,0.846911,1.748395,2.18918,2.355667,2.293738,2.01839,1.534847,0.879303,2.355667,1.723803,0.3,0.187747,0.12768,0.123615,0.0,486.1125
5676,0.35,1005.2513,7336.0943,0.891564,1.87494,2.372474,2.561706,2.500797,2.212214,1.710741,0.992226,2.561706,1.873695,0.35,0.236142,0.134246,0.142647,0.0,528.3819
